area,prov,dist,sex,area_name,sexname,rowtotal,a_india,b_saarc,c_asean,d_midleast,e_othrasian,f_eucntry,g_othreuropn,h_northamericn,i_southamericn,j_african,k_pacific,l_other,m_notstd
50,6,60,2,"Mugu","Female",25,21,0,0,0,0,0,0,4,0,0,0,0,0
50,6,61,0,"Humla","Total",18,11,0,0,0,7,0,0,0,0,0,0,0,0
50,6,61,1,"Humla","Male",15,9,0,0,0,6,0,0,0,0,0,0,0,0
50,6,61,2,"Humla","Female",3,2,0,0,0,1,0,0,0,0,0,0,0,0
50,6,62,0,"Jumla","Total",96,96,0,0,0,0,0,0,0,0,0,0,0,0
50,6,62,1,"Jumla","Male",50,50,0,0,0,0,0,0,0,0,0,0,0,0
50,6,62,2,"Jumla","Female",46,46,0,0,0,0,0,0,0,0,0,0,0,0
50,6,63,0,"Kalikot","Total",94,92,1,0,1,0,0,0,0,0,0,0,0,0
50,6,63,1,"Kalikot","Male",46,45,0,0,1,0,0,0,0,0,0,0,0,0
50,6,63,2,"Kalikot","Female",48,47,1,0,0,0,0,0,0,0,0,0,0,0
50,6,64,0,"Dailekh","Total",239,235,1,1,0,2,0,0,0,0,0,0,0,0
50,6,64,1,"Dailekh","Male",103,102,0,1,0,0,0,0,0,0,0,0,0,0
50,6,64,2,"Dailekh","Female",136,133,1,0,0,2,0,0,0,0,0,0,0,0
50,6,65,0,"Jajarkot","Total",271,261,2,6,2,0,0,0,0,0,0,0,0,0
50,6,65,1,"Jajarkot","Male",139,132,2,4,1,0,0,0,0,0,0,0,0,0
50,6,65,2,"Jajarkot","Female",132,129,0,2,1,0,0,0,0,0,0,0,0,0
50,6,66,0,"Rukum (West)","Total",847,791,2,30,20,3,0,0,0,0,0,0,0,1
50,6,66,1,"Rukum (West)","Male",574,522,0,29,19,3,0,0,0,0,0,0,0,1
50,6,66,2,"Rukum (West)","Female",273,269,2,1,1,0,0,0,0,0,0,0,0,0
50,6,67,0,"Salyan","Total",566,556,2,7,1,0,0,0,0,0,0,0,0,0
50,6,67,1,"Salyan","Male",299,291,0,7,1,0,0,0,0,0,0,0,0,0
50,6,67,2,"Salyan","Female",267,265,2,0,0,0,0,0,0,0,0,0,0,0
50,6,68,0,"Surkhet","Total",3245,3202,7,11,3,10,1,5,4,0,0,1,1,0
50,6,68,1,"Surkhet","Male",1611,1591,4,7,2,2,0,2,2,0,0,0,1,0
50,6,68,2,"Surkhet","Female",1634,1611,3,4,1,8,1,3,2,0,0,1,0,0
50,7,69,0,"Bajura","Total",148,147,0,1,0,0,0,0,0,0,0,0,0,0
50,7,69,1,"Bajura","Male",78,77,0,1,0,0,0,0,0,0,0,0,0,0
50,7,69,2,"Bajura","Female",70,70,0,0,0,0,0,0,0,0,0,0,0,0
50,7,70,0,"Bajhang","Total",239,238,0,0,1,0,0,0,0,0,0,0,0,0
50,7,70,1,"Bajhang","Male",103,102,0,0,1,0,0,0,0,0,0,0,0,0
50,7,70,2,"Bajhang","Female",136,136,0,0,0,0,0,0,0,0,0,0,0,0
50,7,71,0,"Darchula","Total",939,913,22,2,2,0,0,0,0,0,0,0,0,0
50,7,71,1,"Darchula","Male",74,55,18,0,1,0,0,0,0,0,0,0,0,0
50,7,71,2,"Darchula","Female",865,858,4,2,1,0,0,0,0,0,0,0,0,0
50,7,72,0,"Baitadi","Total",630,629,1,0,0,0,0,0,0,0,0,0,0,0
50,7,72,1,"Baitadi","Male",117,117,0,0,0,0,0,0,0,0,0,0,0,0
50,7,72,2,"Baitadi","Female",513,512,1,0,0,0,0,0,0,0,0,0,0,0
50,7,73,0,"Dadeldhura","Total",620,614,0,0,1,2,0,0,3,0,0,0,0,0
50,7,73,1,"Dadeldhura","Male",258,256,0,0,0,0,0,0,2,0,0,0,0,0
50,7,73,2,"Dadeldhura","Female",362,358,0,0,1,2,0,0,1,0,0,0,0,0
50,7,74,0,"Doti","Total",583,580,2,1,0,0,0,0,0,0,0,0,0,0
50,7,74,1,"Doti","Male",300,298,1,1,0,0,0,0,0,0,0,0,0,0
50,7,74,2,"Doti","Female",283,282,1,0,0,0,0,0,0,0,0,0,0,0
50,7,75,0,"Achham","Total",907,906,0,0,1,0,0,0,0,0,0,0,0,0
50,7,75,1,"Achham","Male",575,574,0,0,1,0,0,0,0,0,0,0,0,0
50,7,75,2,"Achham","Female",332,332,0,0,0,0,0,0,0,0,0,0,0,0
50,7,76,0,"Kailali","Total",15626,15531,27,39,7,10,2,1,5,1,1,1,1,0
50,7,76,1,"Kailali","Male",6871,6827,9,21,4,4,1,1,2,1,0,0,1,0
50,7,76,2,"Kailali","Female",8755,8704,18,18,3,6,1,0,3,0,1,1,0,0
50,7,77,0,"Kanchanpur","Total",9847,9700,22,102,9,3,2,0,1,0,0,3,1,4
50,7,77,1,"Kanchanpur","Male",3974,3901,9,53,6,1,0,0,0,0,0,2,1,1
50,7,77,2,"Kanchanpur","Female",5873,5799,13,49,3,2,2,0,1,0,0,1,0,3
