area,prov,dist,sex,area_name,sexname,rowtotal,a_below10,b_10to14,c_15to17,d_18to20,e_21to24,f_25to29,g_30to34,h_35to39,i_40t44,j_45t49,k_50plus,l_notstd
50,2,15,0,"Saptari","Both Sexes",390207,1603,35480,98414,153059,63146,31309,5488,872,238,42,42,514
50,2,15,1,"Saptari","Male",174672,395,8235,25975,68612,40690,24870,4723,739,176,30,32,195
50,2,15,2,"Saptari","Female",215535,1208,27245,72439,84447,22456,6439,765,133,62,12,10,319
50,2,16,0,"Siraha","Both Sexes",389737,1215,37875,109955,149074,56412,28576,4698,837,219,46,28,802
50,2,16,1,"Siraha","Male",165414,228,7090,25297,64956,39090,23424,4066,700,171,37,22,333
50,2,16,2,"Siraha","Female",224323,987,30785,84658,84118,17322,5152,632,137,48,9,6,469
50,2,17,0,"Dhanusa","Both Sexes",454169,972,50752,137205,158976,61195,36240,6783,1171,296,51,40,488
50,2,17,1,"Dhanusa","Male",192616,176,7537,28408,72881,44841,31071,6121,1041,247,46,30,217
50,2,17,2,"Dhanusa","Female",261553,796,43215,108797,86095,16354,5169,662,130,49,5,10,271
50,2,18,0,"Mahottari","Both Sexes",360633,602,33149,103877,140042,50657,26355,4417,786,209,47,25,467
50,2,18,1,"Mahottari","Male",156740,101,5013,22648,65611,36100,22286,3885,680,161,33,18,204
50,2,18,2,"Mahottari","Female",203893,501,28136,81229,74431,14557,4069,532,106,48,14,7,263
50,2,19,0,"Sarlahi","Both Sexes",443169,456,36693,124635,181324,62938,29975,5305,968,338,53,28,456
50,2,19,1,"Sarlahi","Male",203163,74,5837,29883,92111,44616,24702,4605,825,250,44,23,193
50,2,19,2,"Sarlahi","Female",240006,382,30856,94752,89213,18322,5273,700,143,88,9,5,263
50,2,20,0,"Rautahat","Both Sexes",401169,598,36511,118092,169192,51910,20486,3035,512,179,27,40,587
50,2,20,1,"Rautahat","Male",185071,125,7148,31640,89116,37021,16601,2551,425,137,15,26,266
50,2,20,2,"Rautahat","Female",216098,473,29363,86452,80076,14889,3885,484,87,42,12,14,321
50,2,21,0,"Bara","Both Sexes",397071,709,36980,106711,163939,58798,24746,3772,699,203,33,35,446
50,2,21,1,"Bara","Male",187079,155,7818,29858,85190,40264,19757,3106,561,150,27,24,169
50,2,21,2,"Bara","Female",209992,554,29162,76853,78749,18534,4989,666,138,53,6,11,277
50,2,22,0,"Parsa","Both Sexes",339024,594,28504,82189,140111,56641,25303,4253,722,191,38,30,448
50,2,22,1,"Parsa","Male",162269,70,5428,21864,70759,39347,20245,3591,596,144,29,15,181
50,2,22,2,"Parsa","Female",176755,524,23076,60325,69352,17294,5058,662,126,47,9,15,267
50,3,23,0,"Dolakha","Both Sexes",101962,304,6089,19911,35227,24994,11347,2912,731,235,64,41,107
50,3,23,1,"Dolakha","Male",46341,57,1399,5412,14412,14432,7728,2093,522,166,49,35,36
50,3,23,2,"Dolakha","Female",55621,247,4690,14499,20815,10562,3619,819,209,69,15,6,71
50,3,24,0,"Sindhupalchok","Both Sexes",156840,607,13816,35695,53149,31998,15715,3935,1171,446,105,75,128
50,3,24,1,"Sindhupalchok","Male",73243,131,3664,11152,24572,18981,10803,2667,780,316,79,51,47
50,3,24,2,"Sindhupalchok","Female",83597,476,10152,24543,28577,13017,4912,1268,391,130,26,24,81
50,3,25,0,"Rasuwa","Both Sexes",26441,95,1573,5231,9258,5935,3212,781,222,95,14,6,19
50,3,25,1,"Rasuwa","Male",13090,9,330,1630,4345,3672,2316,544,150,71,11,5,7
50,3,25,2,"Rasuwa","Female",13351,86,1243,3601,4913,2263,896,237,72,24,3,1,12
