area,prov,dist,sex,area_name,sexname,rowtotal,a_physical,b_lowvision,c_blind,d_deaf,e_hardhear,f_deafblind,g_speech,h_mental,i_intellect,j_hemophilia,k_autism,l_multiple,m_nodisabl,n_notstd
50,3,31,0,"Kavrepalanchok","Both Sexes",364039,3105,1374,410,644,749,151,550,439,151,117,75,828,355403,43
50,3,31,1,"Kavrepalanchok","Male",178909,1706,646,211,341,360,76,297,239,64,51,25,426,174443,24
50,3,31,2,"Kavrepalanchok","Female",185130,1399,728,199,303,389,75,253,200,87,66,50,402,180960,19
50,3,32,0,"Ramechhap","Both Sexes",170302,1912,911,262,489,537,90,385,163,65,40,28,620,164794,6
50,3,32,1,"Ramechhap","Male",80824,1055,426,111,272,264,63,206,80,34,17,11,298,77983,4
50,3,32,2,"Ramechhap","Female",89478,857,485,151,217,273,27,179,83,31,23,17,322,86811,2
50,3,33,0,"Sindhuli","Both Sexes",300026,2732,1124,416,826,620,145,613,282,143,53,65,621,292379,7
50,3,33,1,"Sindhuli","Male",147065,1574,572,211,436,315,71,333,146,69,20,25,367,142920,6
50,3,33,2,"Sindhuli","Female",152961,1158,552,205,390,305,74,280,136,74,33,40,254,149459,1
50,3,34,0,"Makwanpur","Both Sexes",466073,3511,1786,717,606,863,141,646,524,154,95,77,1063,455878,12
50,3,34,1,"Makwanpur","Male",233816,2028,892,320,332,472,75,352,294,82,39,30,566,228327,7
50,3,34,2,"Makwanpur","Female",232257,1483,894,397,274,391,66,294,230,72,56,47,497,227551,5
50,3,35,0,"Chitawan","Both Sexes",719859,5322,3118,1032,1301,1567,332,930,759,246,142,113,1634,703323,40
50,3,35,1,"Chitawan","Male",351789,3094,1560,511,683,794,169,525,348,114,66,49,854,343005,17
50,3,35,2,"Chitawan","Female",368070,2228,1558,521,618,773,163,405,411,132,76,64,780,360318,23
50,4,36,0,"Gorkha","Both Sexes",251027,2968,1857,437,1049,774,164,542,353,106,21,49,678,241636,393
50,4,36,1,"Gorkha","Male",118155,1751,859,219,555,382,89,265,173,55,12,19,354,113235,187
50,4,36,2,"Gorkha","Female",132872,1217,998,218,494,392,75,277,180,51,9,30,324,128401,206
50,4,37,0,"Manang","Both Sexes",5658,59,46,8,44,27,2,21,7,5,0,3,43,5391,2
50,4,37,1,"Manang","Male",3192,38,28,4,21,15,0,13,3,2,0,1,17,3050,0
50,4,37,2,"Manang","Female",2466,21,18,4,23,12,2,8,4,3,0,2,26,2341,2
50,4,38,0,"Mustang","Both Sexes",14452,157,79,18,94,45,7,49,18,7,5,3,44,13918,8
50,4,38,1,"Mustang","Male",7934,71,43,9,41,20,1,29,9,5,1,2,14,7684,5
50,4,38,2,"Mustang","Female",6518,86,36,9,53,25,6,20,9,2,4,1,30,6234,3
50,4,39,0,"Myagdi","Both Sexes",107033,1672,489,169,764,648,55,495,176,114,6,23,494,101733,195
50,4,39,1,"Myagdi","Male",52153,973,242,83,384,326,27,236,95,48,5,13,278,49350,93
50,4,39,2,"Myagdi","Female",54880,699,247,86,380,322,28,259,81,66,1,10,216,52383,102
50,4,40,0,"Kaski","Both Sexes",600051,4435,1849,466,1217,1267,139,779,806,284,50,95,975,585840,1849
50,4,40,1,"Kaski","Male",292791,2589,899,253,632,613,77,454,440,158,27,48,498,285190,913
50,4,40,2,"Kaski","Female",307260,1846,950,213,585,654,62,325,366,126,23,47,477,300650,936
50,4,41,0,"Lamjung","Both Sexes",155852,1528,900,177,772,652,86,593,230,89,20,24,486,150115,180
50,4,41,1,"Lamjung","Male",74077,916,423,89,393,319,51,330,129,46,11,11,259,71007,93
50,4,41,2,"Lamjung","Female",81775,612,477,88,379,333,35,263,101,43,9,13,227,79108,87
50,4,42,0,"Tanahu","Both Sexes",321153,3027,1479,320,786,940,162,642,539,192,34,58,601,311541,832
50,4,42,1,"Tanahu","Male",150094,1770,754,167,427,438,83,339,288,109,17,30,331,144944,397
50,4,42,2,"Tanahu","Female",171059,1257,725,153,359,502,79,303,251,83,17,28,270,166597,435
50,4,43,0,"Nawalparasi (Bardaghat Susta East)","Both Sexes",378079,3619,2576,377,1190,1209,311,958,601,205,46,64,932,365525,466
50,4,43,1,"Nawalparasi (Bardaghat Susta East)","Male",177887,2120,1256,194,623,622,142,518,294,97,22,34,494,171254,217
50,4,43,2,"Nawalparasi (Bardaghat Susta East)","Female",200192,1499,1320,183,567,587,169,440,307,108,24,30,438,194271,249
50,4,44,0,"Syangja","Both Sexes",253024,2308,1039,227,540,656,90,482,463,135,18,47,574,246264,181
50,4,44,1,"Syangja","Male",116678,1381,526,102,291,328,46,274,254,64,11,23,298,112981,99
50,4,44,2,"Syangja","Female",136346,927,513,125,249,328,44,208,209,71,7,24,276,133283,82
50,4,45,0,"Parbat","Both Sexes",130887,1499,708,140,426,409,34,340,249,82,9,24,339,126362,266
50,4,45,1,"Parbat","Male",61678,863,342,65,225,189,18,189,112,47,3,9,185,59297,134
50,4,45,2,"Parbat","Female",69209,636,366,75,201,220,16,151,137,35,6,15,154,67065,132
50,4,46,0,"Baglung","Both Sexes",249211,3010,1136,350,859,672,104,468,402,138,23,45,604,241171,229
50,4,46,1,"Baglung","Male",116194,1712,599,168,439,304,55,248,186,61,11,21,334,111941,115
50,4,46,2,"Baglung","Female",133017,1298,537,182,420,368,49,220,216,77,12,24,270,129230,114
50,5,47,0,"Rukum (East)","Both Sexes",56786,787,233,115,381,206,50,155,21,16,15,16,161,54630,0
50,5,47,1,"Rukum (East)","Male",27516,462,110,55,217,103,33,94,11,5,6,6,69,26345,0
