area,prov,dist,sex,area_name,sexname,rowtotal,a_govt,b_financl,c_nfinancl,d_nprofit,e_hhldsectr,f_notstd
50,4,45,2,"Parbat","Female",37637,1691,438,7760,66,27571,111
50,4,46,0,"Baglung","Both Sexes",131652,7156,1425,29533,557,92672,309
50,4,46,1,"Baglung","Male",60690,4321,686,15153,412,39966,152
50,4,46,2,"Baglung","Female",70962,2835,739,14380,145,52706,157
50,5,47,0,"Rukum (East)","Both Sexes",34591,1182,135,4180,63,28655,376
50,5,47,1,"Rukum (East)","Male",16789,783,71,2184,47,13547,157
50,5,47,2,"Rukum (East)","Female",17802,399,64,1996,16,15108,219
50,5,48,0,"Rolpa","Both Sexes",122619,4819,599,22153,346,94524,178
50,5,48,1,"Rolpa","Male",57412,3382,318,10981,278,42373,80
50,5,48,2,"Rolpa","Female",65207,1437,281,11172,68,52151,98
50,5,49,0,"Pyuthan","Both Sexes",117609,5485,645,25404,354,85634,87
50,5,49,1,"Pyuthan","Male",51105,3632,349,13111,253,33714,46
50,5,49,2,"Pyuthan","Female",66504,1853,296,12293,101,51920,41
50,5,50,0,"Gulmi","Both Sexes",152504,6869,921,23863,375,120396,80
50,5,50,1,"Gulmi","Male",66858,4019,477,13228,261,48831,42
50,5,50,2,"Gulmi","Female",85646,2850,444,10635,114,71565,38
50,5,51,0,"Arghakhanchi","Both Sexes",95630,4684,605,19973,333,69936,99
50,5,51,1,"Arghakhanchi","Male",42481,2894,357,10494,248,28426,62
50,5,51,2,"Arghakhanchi","Female",53149,1790,248,9479,85,41510,37
50,5,52,0,"Palpa","Both Sexes",162478,7414,1716,30083,486,122326,453
50,5,52,1,"Palpa","Male",73706,4510,913,17584,301,50184,214
50,5,52,2,"Palpa","Female",88772,2904,803,12499,185,72142,239
50,5,53,0,"Nawalparasi (Bardaghat Susta West)","Both Sexes",198249,7252,2093,62011,563,126007,323
50,5,53,1,"Nawalparasi (Bardaghat Susta West)","Male",105879,5383,1211,35699,401,62997,188
50,5,53,2,"Nawalparasi (Bardaghat Susta West)","Female",92370,1869,882,26312,162,63010,135
50,5,54,0,"Rupandehi","Both Sexes",518799,20299,6976,224270,2038,264507,709
50,5,54,1,"Rupandehi","Male",288899,14844,4073,129820,1479,138226,457
50,5,54,2,"Rupandehi","Female",229900,5455,2903,94450,559,126281,252
50,5,55,0,"Kapilbastu","Both Sexes",322358,9002,2154,91273,983,218702,244
50,5,55,1,"Kapilbastu","Male",176739,6513,1429,49007,739,118890,161
50,5,55,2,"Kapilbastu","Female",145619,2489,725,42266,244,99812,83
50,5,56,0,"Dang","Both Sexes",342992,13306,3579,110942,1361,213493,311
50,5,56,1,"Dang","Male",173401,9512,2062,62254,1052,98324,197
50,5,56,2,"Dang","Female",169591,3794,1517,48688,309,115169,114
50,5,57,0,"Banke","Both Sexes",284309,13806,3691,103501,1551,161310,450
50,5,57,1,"Banke","Male",156317,10347,2165,58051,1196,84278,280
50,5,57,2,"Banke","Female",127992,3459,1526,45450,355,77032,170
50,5,58,0,"Bardiya","Both Sexes",273724,8848,1915,56558,657,205614,132
50,5,58,1,"Bardiya","Male",132963,6162,1056,32788,488,92392,77
50,5,58,2,"Bardiya","Female",140761,2686,859,23770,169,113222,55
50,6,59,0,"Dolpa","Both Sexes",19875,1426,120,4489,51,13759,30
50,6,59,1,"Dolpa","Male",10731,1149,82,2168,45,7268,19
50,6,59,2,"Dolpa","Female",9144,277,38,2321,6,6491,11
50,6,60,0,"Mugu","Both Sexes",33599,1966,200,4889,84,26426,34
50,6,60,1,"Mugu","Male",16885,1554,153,2634,59,12463,22
50,6,60,2,"Mugu","Female",16714,412,47,2255,25,13963,12
50,6,61,0,"Humla","Both Sexes",30310,2012,132,3613,88,24440,25
50,6,61,1,"Humla","Male",15386,1640,101,1982,70,11581,12
50,6,61,2,"Humla","Female",14924,372,31,1631,18,12859,13
