area,prov,dist,sex,area_name,sexname,rowtotal,a_employee,b_employer,c_ownaccount,d_familysupp,e_notstd
50,5,51,2,"Arghakhanchi","Female",53149,6338,283,37082,9415,31
50,5,52,0,"Palpa","Both Sexes",162478,26815,1850,102670,30689,454
50,5,52,1,"Palpa","Male",73706,17223,1227,42396,12644,216
50,5,52,2,"Palpa","Female",88772,9592,623,60274,18045,238
50,5,53,0,"Nawalparasi (Bardaghat Susta West)","Both Sexes",198249,60142,2935,107100,27787,285
50,5,53,1,"Nawalparasi (Bardaghat Susta West)","Male",105879,40417,2126,52704,10475,157
50,5,53,2,"Nawalparasi (Bardaghat Susta West)","Female",92370,19725,809,54396,17312,128
50,5,54,0,"Rupandehi","Both Sexes",518799,170534,10235,255826,81676,528
50,5,54,1,"Rupandehi","Male",288899,110575,8390,137901,31714,319
50,5,54,2,"Rupandehi","Female",229900,59959,1845,117925,49962,209
50,5,55,0,"Kapilbastu","Both Sexes",322358,80338,3729,188012,50091,188
50,5,55,1,"Kapilbastu","Male",176739,50510,2880,103735,19496,118
50,5,55,2,"Kapilbastu","Female",145619,29828,849,84277,30595,70
50,5,56,0,"Dang","Both Sexes",342992,98198,4694,193188,46654,258
50,5,56,1,"Dang","Male",173401,63381,3385,88475,18000,160
50,5,56,2,"Dang","Female",169591,34817,1309,104713,28654,98
50,5,57,0,"Banke","Both Sexes",284309,94981,3445,143070,42457,356
50,5,57,1,"Banke","Male",156317,63445,2572,73833,16271,196
50,5,57,2,"Banke","Female",127992,31536,873,69237,26186,160
50,5,58,0,"Bardiya","Both Sexes",273724,69370,2050,167657,34532,115
50,5,58,1,"Bardiya","Male",132963,47116,1388,71629,12767,63
50,5,58,2,"Bardiya","Female",140761,22254,662,96028,21765,52
50,6,59,0,"Dolpa","Both Sexes",19875,3379,446,13547,2476,27
50,6,59,1,"Dolpa","Male",10731,2186,343,7077,1110,15
50,6,59,2,"Dolpa","Female",9144,1193,103,6470,1366,12
50,6,60,0,"Mugu","Both Sexes",33599,4141,273,25257,3902,26
50,6,60,1,"Mugu","Male",16885,3005,173,11811,1882,14
50,6,60,2,"Mugu","Female",16714,1136,100,13446,2020,12
50,6,61,0,"Humla","Both Sexes",30310,3559,242,21842,4646,21
50,6,61,1,"Humla","Male",15386,2660,176,10436,2103,11
50,6,61,2,"Humla","Female",14924,899,66,11406,2543,10
50,6,62,0,"Jumla","Both Sexes",62722,9102,617,46094,6744,165
50,6,62,1,"Jumla","Male",31190,6437,446,20951,3273,83
50,6,62,2,"Jumla","Female",31532,2665,171,25143,3471,82
50,6,63,0,"Kalikot","Both Sexes",75782,8298,798,55952,10684,50
50,6,63,1,"Kalikot","Male",37820,5710,497,26674,4917,22
50,6,63,2,"Kalikot","Female",37962,2588,301,29278,5767,28
50,6,64,0,"Dailekh","Both Sexes",132702,16503,1139,95688,19253,119
50,6,64,1,"Dailekh","Male",63272,10925,721,43365,8204,57
50,6,64,2,"Dailekh","Female",69430,5578,418,52323,11049,62
50,6,65,0,"Jajarkot","Both Sexes",113022,11874,954,77103,23036,55
50,6,65,1,"Jajarkot","Male",56614,8597,594,36706,10691,26
50,6,65,2,"Jajarkot","Female",56408,3277,360,40397,12345,29
50,6,66,0,"Rukum (West)","Both Sexes",103216,14625,814,50703,36982,92
50,6,66,1,"Rukum (West)","Male",49827,10848,544,23738,14658,39
50,6,66,2,"Rukum (West)","Female",53389,3777,270,26965,22324,53
50,6,67,0,"Salyan","Both Sexes",139573,18851,1132,94810,24719,61
50,6,67,1,"Salyan","Male",67370,13492,739,43029,10074,36
50,6,67,2,"Salyan","Female",72203,5359,393,51781,14645,25
50,6,68,0,"Surkhet","Both Sexes",215532,50370,2579,127029,35266,288
50,6,68,1,"Surkhet","Male",106358,33390,1822,56463,14538,145
50,6,68,2,"Surkhet","Female",109174,16980,757,70566,20728,143
50,7,69,0,"Bajura","Both Sexes",72653,7532,764,54412,9929,16
50,7,69,1,"Bajura","Male",34800,5087,524,24533,4649,7
50,7,69,2,"Bajura","Female",37853,2445,240,29879,5280,9
50,7,70,0,"Bajhang","Both Sexes",103036,12034,758,71466,18745,33
50,7,70,1,"Bajhang","Male",47384,8419,526,30118,8305,16
50,7,70,2,"Bajhang","Female",55652,3615,232,41348,10440,17
50,7,71,0,"Darchula","Both Sexes",68784,11789,634,45677,10667,17
50,7,71,1,"Darchula","Male",33945,7921,440,21245,4330,9
50,7,71,2,"Darchula","Female",34839,3868,194,24432,6337,8
50,7,72,0,"Baitadi","Both Sexes",136750,18149,916,89045,28612,28
