area,prov,dist,agegrp,area_name,agegrpname,rowtotal,a_male,b_female
50,2,21,0,"Bara","All Ages",763137,389787,373350
50,2,21,1,"Bara","00-04 Yrs.",77628,40910,36718
50,2,21,2,"Bara","05-09 Yrs.",86498,44938,41560
50,2,21,3,"Bara","10-14 Yrs.",85704,44152,41552
50,2,21,4,"Bara","15-19 Yrs.",80921,42407,38514
50,2,21,5,"Bara","20-24 Yrs.",71399,35731,35668
50,2,21,6,"Bara","25-29 Yrs.",61330,30151,31179
50,2,21,7,"Bara","30-34 Yrs.",52562,25139,27423
50,2,21,8,"Bara","35-39 Yrs.",51987,25120,26867
50,2,21,9,"Bara","40-44 Yrs.",42340,22123,20217
50,2,21,10,"Bara","45-49 Yrs.",34634,17570,17064
50,2,21,11,"Bara","50-54 Yrs.",31477,16742,14735
50,2,21,12,"Bara","55-59 Yrs.",22558,11956,10602
50,2,21,13,"Bara","60-64 Yrs.",19729,9857,9872
50,2,21,14,"Bara","65-69 Yrs.",17663,9205,8458
50,2,21,15,"Bara","70-74 Yrs.",14576,7373,7203
50,2,21,16,"Bara","75-79 Yrs.",7568,4015,3553
50,2,21,17,"Bara","80-84 Yrs.",2613,1375,1238
50,2,21,18,"Bara","85-89 Yrs.",1021,570,451
50,2,21,19,"Bara","90-94 Yrs.",442,222,220
50,2,21,20,"Bara","95+ Yrs.",487,231,256
50,2,22,0,"Parsa","All Ages",654471,338286,316185
50,2,22,1,"Parsa","00-04 Yrs.",61872,32754,29118
50,2,22,2,"Parsa","05-09 Yrs.",73393,38215,35178
50,2,22,3,"Parsa","10-14 Yrs.",74417,38294,36123
50,2,22,4,"Parsa","15-19 Yrs.",69694,37122,32572
50,2,22,5,"Parsa","20-24 Yrs.",59300,30332,28968
50,2,22,6,"Parsa","25-29 Yrs.",52550,26036,26514
50,2,22,7,"Parsa","30-34 Yrs.",46529,22691,23838
50,2,22,8,"Parsa","35-39 Yrs.",45950,22911,23039
50,2,22,9,"Parsa","40-44 Yrs.",37086,19628,17458
50,2,22,10,"Parsa","45-49 Yrs.",31153,16257,14896
50,2,22,11,"Parsa","50-54 Yrs.",26928,14374,12554
50,2,22,12,"Parsa","55-59 Yrs.",20043,10773,9270
50,2,22,13,"Parsa","60-64 Yrs.",17760,9057,8703
50,2,22,14,"Parsa","65-69 Yrs.",15838,8367,7471
50,2,22,15,"Parsa","70-74 Yrs.",12159,6290,5869
50,2,22,16,"Parsa","75-79 Yrs.",6023,3223,2800
50,2,22,17,"Parsa","80-84 Yrs.",2134,1103,1031
50,2,22,18,"Parsa","85-89 Yrs.",873,474,399
50,2,22,19,"Parsa","90-94 Yrs.",353,187,166
50,2,22,20,"Parsa","95+ Yrs.",416,198,218
50,3,23,0,"Dolakha","All Ages",172767,83720,89047
50,3,23,1,"Dolakha","00-04 Yrs.",11909,6215,5694
50,3,23,2,"Dolakha","05-09 Yrs.",13760,7004,6756
50,3,23,3,"Dolakha","10-14 Yrs.",15307,7633,7674
50,3,23,4,"Dolakha","15-19 Yrs.",16470,8090,8380
50,3,23,5,"Dolakha","20-24 Yrs.",14768,7160,7608
50,3,23,6,"Dolakha","25-29 Yrs.",13550,6634,6916
50,3,23,7,"Dolakha","30-34 Yrs.",11722,5720,6002
50,3,23,8,"Dolakha","35-39 Yrs.",10674,5071,5603
50,3,23,9,"Dolakha","40-44 Yrs.",9737,4509,5228
50,3,23,10,"Dolakha","45-49 Yrs.",8607,3904,4703
50,3,23,11,"Dolakha","50-54 Yrs.",10265,4704,5561
50,3,23,12,"Dolakha","55-59 Yrs.",8575,4066,4509
50,3,23,13,"Dolakha","60-64 Yrs.",8401,4081,4320
50,3,23,14,"Dolakha","65-69 Yrs.",6896,3314,3582
50,3,23,15,"Dolakha","70-74 Yrs.",5146,2420,2726
