area,prov,dist,sex,area_name,sexname,rowtotal,a_below14,b_15to19,c_20to29,d_30to39,e_40t049,f_50to59,g_60to69,h_70plus
50,5,52,2,"Palpa","Female",29571,36,471,5021,8333,6160,4395,3094,2061
50,5,53,0,"Nawalparasi (Bardaghat Susta West)","Both Sexes",82738,35,305,7221,20453,20424,16686,11233,6381
50,5,53,1,"Nawalparasi (Bardaghat Susta West)","Male",58323,23,182,4109,12438,14675,13180,8844,4872
50,5,53,2,"Nawalparasi (Bardaghat Susta West)","Female",24415,12,123,3112,8015,5749,3506,2389,1509
50,5,54,0,"Rupandehi","Both Sexes",238320,132,2123,26322,59710,57861,44618,30436,17118
50,5,54,1,"Rupandehi","Male",159418,86,1164,13740,34480,39821,34138,23239,12750
50,5,54,2,"Rupandehi","Female",78902,46,959,12582,25230,18040,10480,7197,4368
50,5,55,0,"Kapilbastu","Both Sexes",121946,76,555,11426,28634,28668,23800,17727,11060
50,5,55,1,"Kapilbastu","Male",90680,53,355,6835,18674,21828,19691,14441,8803
50,5,55,2,"Kapilbastu","Female",31266,23,200,4591,9960,6840,4109,3286,2257
50,5,56,0,"Dang","Both Sexes",162316,216,2634,23820,42493,37958,28086,18112,8997
50,5,56,1,"Dang","Male",102837,102,1265,10227,22894,26216,21602,13847,6684
50,5,56,2,"Dang","Female",59479,114,1369,13593,19599,11742,6484,4265,2313
50,5,57,0,"Banke","Both Sexes",129307,192,1722,18539,34521,30317,22229,13563,8224
50,5,57,1,"Banke","Male",88637,93,875,9899,21346,22278,17380,10551,6215
50,5,57,2,"Banke","Female",40670,99,847,8640,13175,8039,4849,3012,2009
50,5,58,0,"Bardiya","Both Sexes",106326,262,1115,13305,27265,24856,20958,11768,6797
50,5,58,1,"Bardiya","Male",68637,113,453,5558,14681,17250,16352,9059,5171
50,5,58,2,"Bardiya","Female",37689,149,662,7747,12584,7606,4606,2709,1626
50,6,59,0,"Dolpa","Both Sexes",9398,22,157,1826,2596,2083,1540,858,316
50,6,59,1,"Dolpa","Male",7582,14,115,1509,2169,1717,1228,625,205
50,6,59,2,"Dolpa","Female",1816,8,42,317,427,366,312,233,111
50,6,60,0,"Mugu","Both Sexes",12439,34,107,2156,3103,2731,2290,1316,702
50,6,60,1,"Mugu","Male",10337,22,66,1697,2595,2338,1991,1091,537
50,6,60,2,"Mugu","Female",2102,12,41,459,508,393,299,225,165
50,6,61,0,"Humla","Both Sexes",11228,30,125,1709,2965,2466,2087,1276,570
50,6,61,1,"Humla","Male",9236,19,75,1387,2465,2062,1778,1027,423
50,6,61,2,"Humla","Female",1992,11,50,322,500,404,309,249,147
50,6,62,0,"Jumla","Both Sexes",24438,58,389,3876,6184,5636,4453,2569,1273
50,6,62,1,"Jumla","Male",18623,29,206,2726,4776,4481,3538,1970,897
50,6,62,2,"Jumla","Female",5815,29,183,1150,1408,1155,915,599,376
50,6,63,0,"Kalikot","Both Sexes",26779,75,252,4193,6129,5643,5234,3552,1701
50,6,63,1,"Kalikot","Male",20997,46,167,3093,4765,4515,4345,2803,1263
50,6,63,2,"Kalikot","Female",5782,29,85,1100,1364,1128,889,749,438
50,6,64,0,"Dailekh","Both Sexes",54610,114,688,8638,12175,11235,10144,7219,4397
50,6,64,1,"Dailekh","Male",34929,49,265,4375,7210,7386,7476,5279,2889
50,6,64,2,"Dailekh","Female",19681,65,423,4263,4965,3849,2668,1940,1508
50,6,65,0,"Jajarkot","Both Sexes",37466,84,596,7061,9240,8052,6436,4082,1915
50,6,65,1,"Jajarkot","Male",27079,34,292,4613,6532,6000,5133,3184,1291
50,6,65,2,"Jajarkot","Female",10387,50,304,2448,2708,2052,1303,898,624
50,6,66,0,"Rukum (West)","Both Sexes",37303,151,838,7187,9439,7673,6081,3945,1989
50,6,66,1,"Rukum (West)","Male",25078,79,383,4022,6020,5431,4733,3014,1396
50,6,66,2,"Rukum (West)","Female",12225,72,455,3165,3419,2242,1348,931,593
50,6,67,0,"Salyan","Both Sexes",54701,114,833,9576,13129,11689,9566,6609,3185
50,6,67,1,"Salyan","Male",36274,56,385,4904,7907,8172,7489,5045,2316
50,6,67,2,"Salyan","Female",18427,58,448,4672,5222,3517,2077,1564,869
50,6,68,0,"Surkhet","Both Sexes",97893,377,2341,17097,25880,21091,15753,9897,5457
50,6,68,1,"Surkhet","Male",58648,169,1089,7561,13277,13876,11625,7217,3834
50,6,68,2,"Surkhet","Female",39245,208,1252,9536,12603,7215,4128,2680,1623
50,7,69,0,"Bajura","Both Sexes",28065,74,355,3726,6245,6166,5428,3629,2442
50,7,69,1,"Bajura","Male",20986,44,196,2587,4553,4782,4384,2781,1659
50,7,69,2,"Bajura","Female",7079,30,159,1139,1692,1384,1044,848,783
50,7,70,0,"Bajhang","Both Sexes",38048,144,590,4929,8372,8348,7208,4910,3547
50,7,70,1,"Bajhang","Male",26234,74,332,3249,5784,5817,5447,3479,2052
50,7,70,2,"Bajhang","Female",11814,70,258,1680,2588,2531,1761,1431,1495
50,7,71,0,"Darchula","Both Sexes",28417,42,509,3158,5933,6240,5652,4176,2707
50,7,71,1,"Darchula","Male",21428,27,284,1855,4095,4962,4732,3392,2081
50,7,71,2,"Darchula","Female",6989,15,225,1303,1838,1278,920,784,626
50,7,72,0,"Baitadi","Both Sexes",49428,59,424,5774,10696,11084,10061,6935,4395
50,7,72,1,"Baitadi","Male",35650,36,251,3288,7161,8310,8183,5396,3025
50,7,72,2,"Baitadi","Female",13778,23,173,2486,3535,2774,1878,1539,1370
50,7,73,0,"Dadeldhura","Both Sexes",31193,42,413,4219,7185,6870,5899,3951,2614
50,7,73,1,"Dadeldhura","Male",20932,28,202,2061,4488,4949,4549,2975,1680
50,7,73,2,"Dadeldhura","Female",10261,14,211,2158,2697,1921,1350,976,934
50,7,74,0,"Doti","Both Sexes",45182,111,609,6826,10506,9591,7939,5785,3815
50,7,74,1,"Doti","Male",24398,57,340,2786,5089,5366,5004,3601,2155
50,7,74,2,"Doti","Female",20784,54,269,4040,5417,4225,2935,2184,1660
50,7,75,0,"Achham","Both Sexes",49595,242,1099,8130,11210,9795,8362,5827,4930
50,7,75,1,"Achham","Male",28671,120,534,4096,6114,5677,5545,3856,2729
50,7,75,2,"Achham","Female",20924,122,565,4034,5096,4118,2817,1971,2201
50,7,76,0,"Kailali","Both Sexes",195957,720,3719,25634,51400,45654,35232,20813,12785
50,7,76,1,"Kailali","Male",124327,284,1682,11968,29369,30971,25986,15185,8882
50,7,76,2,"Kailali","Female",71630,436,2037,13666,22031,14683,9246,5628,3903
50,7,77,0,"Kanchanpur","Both Sexes",111217,154,1147,12401,27342,26873,21536,13578,8186
50,7,77,1,"Kanchanpur","Male",73135,77,559,5546,15346,18583,16597,10351,6076
50,7,77,2,"Kanchanpur","Female",38082,77,588,6855,11996,8290,4939,3227,2110
