sex,agegrp,sexname,agegrpname,total,urban,rural,mountain,hill,tarai,province1,madhesh,bagmati,gandaki,lumbini,karnali,sudurpaschim
0,94,"Both Sexes","94 Year",3033,2045,988,179,1687,1167,688,196,954,491,419,72,213
0,95,"Both Sexes","95 Year",4361,2780,1581,221,1535,2605,685,1174,924,456,633,89,400
0,96,"Both Sexes","96 Year",2249,1529,720,156,1125,968,440,261,657,359,288,57,187
0,97,"Both Sexes","97 Year",1536,1033,503,108,800,628,284,160,477,229,213,43,130
0,98,"Both Sexes","98 Year",2581,1627,954,159,1285,1137,424,335,698,422,391,91,220
0,99,"Both Sexes","99 Year",1580,991,589,96,859,625,176,166,359,406,264,108,101
0,100,"Both Sexes","100 Year and above",6829,4270,2559,196,1686,4947,829,2603,968,465,1257,146,561
1,-1,"Male","All Ages",14253551,9454545,4799006,874260,5717247,7662044,2417328,3065751,3048684,1170833,2454408,823761,1272786
1,0,"Male","0 Year",219317,138136,81181,14798,81025,123494,33410,53264,35878,14770,40338,16541,25116
1,1,"Male","1 Year",240488,154608,85880,14148,88809,137531,37738,61186,41474,17013,43465,16212,23400
1,2,"Male","2 Year",269561,172553,97008,16354,94097,159110,40184,75808,43486,18579,47330,18225,25949
1,3,"Male","3 Year",278785,177911,100874,17217,97137,164431,42591,78496,43924,19429,49940,18445,25960
1,4,"Male","4 Year",282374,181115,101259,18007,102099,162268,44696,74596,46581,20318,49705,19135,27343
1,5,"Male","5 Year",299149,192233,106916,18201,103160,177788,46348,84268,48082,20897,53048,18607,27899
1,6,"Male","6 Year",294386,190718,103668,18508,106579,169299,46591,77286,49777,21672,52302,18503,28255
1,7,"Male","7 Year",276257,179838,96419,16819,101701,157737,46224,67919,46488,21206,50084,17418,26918
1,8,"Male","8 Year",313330,202394,110936,19299,108774,185257,48741,85023,49256,22064,56935,20176,31135
1,9,"Male","9 Year",260283,169253,91030,17760,104334,138189,43670,52797,48650,21486,47481,18641,27558
1,10,"Male","10 Year",338785,217722,121063,21039,115551,202195,49853,97423,53659,22570,59512,21438,34330
1,11,"Male","11 Year",246281,160058,86223,16474,100883,128924,40767,48345,46444,20884,44621,17618,27602
1,12,"Male","12 Year",330149,210105,120044,22389,119894,187866,48573,84652,54049,23118,59297,23308,37152
