area,prov,dist,sex,area_name,sexname,rowtotal,a_india,b_saarc,c_asean,d_midleast,e_othrasian,f_eucntry,g_othreuropn,h_northamericn,i_southamericn,j_african,k_pacific,l_other,m_notstd
50,4,39,1,"Myagdi","Male",2420,1070,17,226,1016,60,8,9,5,0,4,3,1,1
50,4,39,2,"Myagdi","Female",389,310,4,16,27,19,1,4,4,0,1,2,0,1
50,4,40,0,"Kaski","Both Sexes",23377,15891,189,1060,3849,1490,177,404,129,9,55,109,3,12
50,4,40,1,"Kaski","Male",15666,9549,126,848,3576,1005,121,240,72,6,48,65,3,7
50,4,40,2,"Kaski","Female",7711,6342,63,212,273,485,56,164,57,3,7,44,0,5
50,4,41,0,"Lamjung","Both Sexes",1815,1284,16,84,382,31,2,9,3,0,1,2,1,0
50,4,41,1,"Lamjung","Male",1263,776,11,78,364,22,2,6,1,0,1,1,1,0
50,4,41,2,"Lamjung","Female",552,508,5,6,18,9,0,3,2,0,0,1,0,0
50,4,42,0,"Tanahu","Both Sexes",12135,7768,78,611,3399,154,33,46,12,8,11,7,3,5
50,4,42,1,"Tanahu","Male",8731,4647,65,574,3261,100,22,28,11,6,10,4,2,1
50,4,42,2,"Tanahu","Female",3404,3121,13,37,138,54,11,18,1,2,1,3,1,4
50,4,43,0,"Nawalparasi (Bardaghat Susta East)","Both Sexes",13643,10162,50,844,2120,341,32,36,7,4,22,16,4,5
50,4,43,1,"Nawalparasi (Bardaghat Susta East)","Male",8449,5401,35,708,1969,247,19,25,4,3,19,11,4,4
50,4,43,2,"Nawalparasi (Bardaghat Susta East)","Female",5194,4761,15,136,151,94,13,11,3,1,3,5,0,1
50,4,44,0,"Syangja","Both Sexes",7246,4756,33,441,1773,139,6,17,13,0,12,8,36,12
50,4,44,1,"Syangja","Male",5384,2990,25,425,1738,127,6,12,6,0,12,5,28,10
50,4,44,2,"Syangja","Female",1862,1766,8,16,35,12,0,5,7,0,0,3,8,2
50,4,45,0,"Parbat","Both Sexes",2908,2121,13,132,560,54,8,5,1,0,6,4,0,4
50,4,45,1,"Parbat","Male",2043,1309,9,127,537,39,7,3,0,0,6,2,0,4
50,4,45,2,"Parbat","Female",865,812,4,5,23,15,1,2,1,0,0,2,0,0
50,4,46,0,"Baglung","Both Sexes",3772,2710,25,213,620,140,31,13,3,1,5,8,0,3
50,4,46,1,"Baglung","Male",2563,1607,18,204,592,95,24,9,1,1,4,6,0,2
50,4,46,2,"Baglung","Female",1209,1103,7,9,28,45,7,4,2,0,1,2,0,1
50,5,47,0,"Rukum (East)","Both Sexes",1288,614,0,145,507,6,4,2,5,1,1,0,3,0
50,5,47,1,"Rukum (East)","Male",1108,464,0,137,488,6,4,2,3,1,1,0,2,0
50,5,47,2,"Rukum (East)","Female",180,150,0,8,19,0,0,0,2,0,0,0,1,0
50,5,48,0,"Rolpa","Both Sexes",1061,706,9,111,228,3,0,0,0,0,3,0,0,1
50,5,48,1,"Rolpa","Male",739,407,2,104,219,3,0,0,0,0,3,0,0,1
50,5,48,2,"Rolpa","Female",322,299,7,7,9,0,0,0,0,0,0,0,0,0
50,5,49,0,"Pyuthan","Both Sexes",4214,3745,2,126,327,9,1,0,0,0,4,0,0,0
50,5,49,1,"Pyuthan","Male",3054,2608,0,121,312,9,1,0,0,0,3,0,0,0
50,5,49,2,"Pyuthan","Female",1160,1137,2,5,15,0,0,0,0,0,1,0,0,0
50,5,50,0,"Gulmi","Both Sexes",10869,8647,16,469,1582,101,14,9,7,6,8,6,2,2
50,5,50,1,"Gulmi","Male",8328,6209,13,450,1541,77,12,6,3,3,7,3,2,2
50,5,50,2,"Gulmi","Female",2541,2438,3,19,41,24,2,3,4,3,1,3,0,0
50,5,51,0,"Arghakhanchi","Both Sexes",5282,4296,7,171,759,20,4,5,6,3,1,4,4,2
50,5,51,1,"Arghakhanchi","Male",3669,2730,6,164,733,17,4,4,3,1,1,1,4,1
50,5,51,2,"Arghakhanchi","Female",1613,1566,1,7,26,3,0,1,3,2,0,3,0,1
50,5,52,0,"Palpa","Both Sexes",6473,4666,33,443,1220,67,5,11,8,1,11,3,1,4
50,5,52,1,"Palpa","Male",4853,3157,24,419,1179,45,3,6,5,1,10,1,1,2
50,5,52,2,"Palpa","Female",1620,1509,9,24,41,22,2,5,3,0,1,2,0,2
50,5,53,0,"Nawalparasi (Bardaghat Susta West)","Both Sexes",32346,29859,76,850,1473,55,3,8,3,1,9,5,2,2
50,5,53,1,"Nawalparasi (Bardaghat Susta West)","Male",6535,4287,29,779,1370,42,3,8,3,0,8,4,1,1
50,5,53,2,"Nawalparasi (Bardaghat Susta West)","Female",25811,25572,47,71,103,13,0,0,0,1,1,1,1,1
50,5,54,0,"Rupandehi","Both Sexes",69429,65076,68,1388,2146,493,58,89,23,1,19,44,6,18
50,5,54,1,"Rupandehi","Male",19192,15639,33,1076,1970,324,39,51,14,1,14,21,4,6
50,5,54,2,"Rupandehi","Female",50237,49437,35,312,176,169,19,38,9,0,5,23,2,12
50,5,55,0,"Kapilbastu","Both Sexes",46437,43556,73,763,1965,51,7,5,5,0,8,0,1,3
50,5,55,1,"Kapilbastu","Male",10063,7399,22,710,1880,35,4,2,2,0,7,0,1,1
50,5,55,2,"Kapilbastu","Female",36374,36157,51,53,85,16,3,3,3,0,1,0,0,2
50,5,56,0,"Dang","Both Sexes",10183,8860,27,520,719,21,6,5,2,2,1,6,5,9
50,5,56,1,"Dang","Male",5903,4685,13,498,668,18,3,4,1,2,0,5,2,4
50,5,56,2,"Dang","Female",4280,4175,14,22,51,3,3,1,1,0,1,1,3,5
50,5,57,0,"Banke","Both Sexes",25852,25079,30,258,426,22,8,6,9,4,3,1,1,5
50,5,57,1,"Banke","Male",5315,4677,12,223,367,15,5,4,4,3,3,1,1,0
