area,prov,dist,sex,area_name,sexname,rowtotal,a_student,b_hhldwork,c_hhldchore,d_aged,e_disable,f_pension,g_soclwork,h_other,i_notstd
50,5,49,0,"Pyuthan","Both Sexes",119859,42951,32174,7513,9497,2482,1603,250,22775,614
50,5,49,1,"Pyuthan","Male",48286,20636,6891,3612,3790,1272,1027,174,10641,243
50,5,49,2,"Pyuthan","Female",71573,22315,25283,3901,5707,1210,576,76,12134,371
50,5,50,0,"Gulmi","Both Sexes",123434,40514,34258,9086,13362,3887,2831,481,18352,663
50,5,50,1,"Gulmi","Male",50888,19927,8036,3703,5410,2002,1823,290,9424,273
50,5,50,2,"Gulmi","Female",72546,20587,26222,5383,7952,1885,1008,191,8928,390
50,5,51,0,"Arghakhanchi","Both Sexes",86784,28699,20502,5903,9309,2972,1426,337,16982,654
50,5,51,1,"Arghakhanchi","Male",35290,14148,4230,2430,3777,1500,920,265,7744,276
50,5,51,2,"Arghakhanchi","Female",51494,14551,16272,3473,5532,1472,506,72,9238,378
50,5,52,0,"Palpa","Both Sexes",99065,39226,19581,6902,10706,2986,2059,251,15723,1631
50,5,52,1,"Palpa","Male",41323,19209,4273,2263,4092,1523,1411,183,7676,693
50,5,52,2,"Palpa","Female",57742,20017,15308,4639,6614,1463,648,68,8047,938
50,5,53,0,"Nawalparasi (Bardaghat Susta West)","Both Sexes",204512,61582,51191,21920,16382,3844,2694,332,45581,986
50,5,53,1,"Nawalparasi (Bardaghat Susta West)","Male",78425,31366,10107,5396,6823,1974,1666,220,20427,446
50,5,53,2,"Nawalparasi (Bardaghat Susta West)","Female",126087,30216,41084,16524,9559,1870,1028,112,25154,540
50,5,54,0,"Rupandehi","Both Sexes",598246,196987,130987,59765,41628,9084,11430,1809,143177,3379
50,5,54,1,"Rupandehi","Male",230739,101769,21559,14654,16605,4641,8281,1220,60457,1553
50,5,54,2,"Rupandehi","Female",367507,95218,109428,45111,25023,4443,3149,589,82720,1826
50,5,55,0,"Kapilbastu","Both Sexes",345550,110488,89012,31757,24828,4745,2662,601,80478,979
50,5,55,1,"Kapilbastu","Male",136516,57057,19566,9671,10900,2530,1646,433,34259,454
50,5,55,2,"Kapilbastu","Female",209034,53431,69446,22086,13928,2215,1016,168,46219,525
50,5,56,0,"Dang","Both Sexes",340179,120813,84170,23456,25863,5389,3300,758,74182,2248
50,5,56,1,"Dang","Male",133565,59305,16025,8961,10712,2786,2429,483,31827,1037
50,5,56,2,"Dang","Female",206614,61508,68145,14495,15151,2603,871,275,42355,1211
50,5,57,0,"Banke","Both Sexes",304992,95566,79071,23721,20869,4873,3264,581,75128,1919
50,5,57,1,"Banke","Male",119715,48895,16013,8153,8731,2655,2363,360,31520,1025
50,5,57,2,"Banke","Female",185277,46671,63058,15568,12138,2218,901,221,43608,894
50,5,58,0,"Bardiya","Both Sexes",202274,70411,52260,13916,18777,4672,1657,401,38919,1261
50,5,58,1,"Bardiya","Male",78534,34268,10331,4578,7888,2343,1040,245,17245,596
50,5,58,2,"Bardiya","Female",123740,36143,41929,9338,10889,2329,617,156,21674,665
50,6,59,0,"Dolpa","Both Sexes",26165,8498,8410,2392,1228,369,73,75,4955,165
50,6,59,1,"Dolpa","Male",12266,4287,3489,1267,569,177,45,52,2298,82
50,6,59,2,"Dolpa","Female",13899,4211,4921,1125,659,192,28,23,2657,83
50,6,60,0,"Mugu","Both Sexes",23612,12578,2775,835,2239,339,82,64,4518,182
50,6,60,1,"Mugu","Male",11356,6438,927,364,974,170,67,48,2273,95
50,6,60,2,"Mugu","Female",12256,6140,1848,471,1265,169,15,16,2245,87
50,6,61,0,"Humla","Both Sexes",25957,10986,6158,1750,2247,494,204,97,3833,188
50,6,61,1,"Humla","Male",12269,5594,2257,969,1004,247,119,68,1925,86
50,6,61,2,"Humla","Female",13688,5392,3901,781,1243,247,85,29,1908,102
50,6,62,0,"Jumla","Both Sexes",53326,25154,9078,2903,3657,777,375,204,9708,1470
50,6,62,1,"Jumla","Male",25511,12796,3264,1293,1671,391,233,136,5010,717
50,6,62,2,"Jumla","Female",27815,12358,5814,1610,1986,386,142,68,4698,753
50,6,63,0,"Kalikot","Both Sexes",68624,33956,13628,3687,5677,968,127,166,9963,452
50,6,63,1,"Kalikot","Male",32038,17223,4713,1796,2540,504,81,119,4841,221
50,6,63,2,"Kalikot","Female",36586,16733,8915,1891,3137,464,46,47,5122,231
50,6,64,0,"Dailekh","Both Sexes",119357,52099,26769,6347,9318,2362,768,282,20341,1071
50,6,64,1,"Dailekh","Male",52932,25795,7792,2969,4012,1198,506,187,9958,515
50,6,64,2,"Dailekh","Female",66425,26304,18977,3378,5306,1164,262,95,10383,556
50,6,65,0,"Jajarkot","Both Sexes",74410,42396,11659,3031,5114,1743,477,131,9575,284
50,6,65,1,"Jajarkot","Male",33796,21333,3008,1324,2135,864,233,97,4654,148
50,6,65,2,"Jajarkot","Female",40614,21063,8651,1707,2979,879,244,34,4921,136
50,6,66,0,"Rukum (West)","Both Sexes",76818,36116,16822,5615,5756,1533,230,178,10015,553
50,6,66,1,"Rukum (West)","Male",33178,18099,4034,2269,2462,747,151,130,5008,278
50,6,66,2,"Rukum (West)","Female",43640,18017,12788,3346,3294,786,79,48,5007,275
50,6,67,0,"Salyan","Both Sexes",107704,44800,25067,7029,9006,2241,653,153,18067,688
50,6,67,1,"Salyan","Male",46295,22499,5727,3062,3907,1116,315,112,9226,331
50,6,67,2,"Salyan","Female",61409,22301,19340,3967,5099,1125,338,41,8841,357
50,6,68,0,"Surkhet","Both Sexes",193350,81294,38679,9971,14105,4349,3148,484,39385,1935
50,6,68,1,"Surkhet","Male",80735,41047,6844,3516,5611,2197,2146,340,18149,885
50,6,68,2,"Surkhet","Female",112615,40247,31835,6455,8494,2152,1002,144,21236,1050
50,7,69,0,"Bajura","Both Sexes",65227,29578,14072,4415,5021,827,362,263,10475,214
50,7,69,1,"Bajura","Male",29864,14659,5120,2044,2014,410,172,194,5139,112
50,7,69,2,"Bajura","Female",35363,14919,8952,2371,3007,417,190,69,5336,102
50,7,70,0,"Bajhang","Both Sexes",93204,42578,20596,5708,8056,1188,555,190,13930,403
50,7,70,1,"Bajhang","Male",40687,20841,6640,2414,2859,566,301,130,6765,171
50,7,70,2,"Bajhang","Female",52517,21737,13956,3294,5197,622,254,60,7165,232
50,7,71,0,"Darchula","Both Sexes",72823,26755,19361,5556,5982,838,671,103,13418,139
50,7,71,1,"Darchula","Male",31820,13435,6757,1545,2497,430,471,73,6539,73
50,7,71,2,"Darchula","Female",41003,13320,12604,4011,3485,408,200,30,6879,66
50,7,72,0,"Baitadi","Both Sexes",128864,53508,30639,11044,10958,1884,1150,204,19003,474
50,7,72,1,"Baitadi","Male",55006,26505,10010,3389,3960,904,705,127,9129,277
50,7,72,2,"Baitadi","Female",73858,27003,20629,7655,6998,980,445,77,9874,197
50,7,73,0,"Dadeldhura","Both Sexes",68098,26779,15925,4584,6068,1533,463,149,12524,73
50,7,73,1,"Dadeldhura","Male",28821,13251,4647,1633,2148,743,272,90,5998,39
50,7,73,2,"Dadeldhura","Female",39277,13528,11278,2951,3920,790,191,59,6526,34
50,7,74,0,"Doti","Both Sexes",96246,42621,21819,5354,8153,1582,513,163,15768,273
50,7,74,1,"Doti","Male",40834,21347,6020,1708,2827,762,253,108,7703,106
50,7,74,2,"Doti","Female",55412,21274,15799,3646,5326,820,260,55,8065,167
50,7,75,0,"Achham","Both Sexes",93208,50045,15390,3780,9734,2080,294,278,11422,185
50,7,75,1,"Achham","Male",41025,24192,4421,1872,3539,980,156,205,5576,84
50,7,75,2,"Achham","Female",52183,25853,10969,1908,6195,1100,138,73,5846,101
50,7,76,0,"Kailali","Both Sexes",474108,172641,118329,30955,37735,8634,3219,948,99191,2456
50,7,76,1,"Kailali","Male",188997,85179,25625,11042,15021,4319,2174,670,43836,1131
50,7,76,2,"Kailali","Female",285111,87462,92704,19913,22714,4315,1045,278,55355,1325
50,7,77,0,"Kanchanpur","Both Sexes",241130,100449,55102,12681,21019,5353,2755,333,42022,1416
50,7,77,1,"Kanchanpur","Male",98915,49646,11715,3870,8059,2666,2033,237,20015,674
50,7,77,2,"Kanchanpur","Female",142215,50803,43387,8811,12960,2687,722,96,22007,742
