area,prov,dist,chldtype,chldsex,area_name,typename,chldsexname,total,a_15to19,b_20to24,c_25to29,d_30to34,e_35to39,f_40to44,g_45to49
50,1,5,3,2,"Khotang","Children Dead","Female",984,9,41,92,120,186,225,311
50,1,6,1,0,"Bhojpur","Children Ever Born","Total",61796,873,4688,8288,10280,12101,12788,12778
50,1,6,1,1,"Bhojpur","Children Ever Born","Male",31731,459,2385,4169,5261,6199,6578,6680
50,1,6,1,2,"Bhojpur","Children Ever Born","Female",30065,414,2303,4119,5019,5902,6210,6098
50,1,6,2,0,"Bhojpur","Children Still Alive","Total",59473,857,4585,8101,9997,11625,12201,12107
50,1,6,2,1,"Bhojpur","Children Still Alive","Male",30368,447,2329,4067,5093,5912,6242,6278
50,1,6,2,2,"Bhojpur","Children Still Alive","Female",29105,410,2256,4034,4904,5713,5959,5829
50,1,6,3,0,"Bhojpur","Children Dead","Total",2323,16,103,187,283,476,587,671
50,1,6,3,1,"Bhojpur","Children Dead","Male",1363,12,56,102,168,287,336,402
50,1,6,3,2,"Bhojpur","Children Dead","Female",960,4,47,85,115,189,251,269
50,1,7,1,0,"Dhankuta","Children Ever Born","Total",56651,689,3808,7343,9797,11238,12327,11449
50,1,7,1,1,"Dhankuta","Children Ever Born","Male",29124,354,2006,3692,5025,5809,6384,5854
50,1,7,1,2,"Dhankuta","Children Ever Born","Female",27527,335,1802,3651,4772,5429,5943,5595
50,1,7,2,0,"Dhankuta","Children Still Alive","Total",54797,674,3728,7184,9548,10872,11854,10937
50,1,7,2,1,"Dhankuta","Children Still Alive","Male",28022,346,1959,3590,4871,5588,6113,5555
50,1,7,2,2,"Dhankuta","Children Still Alive","Female",26775,328,1769,3594,4677,5284,5741,5382
50,1,7,3,0,"Dhankuta","Children Dead","Total",1854,15,80,159,249,366,473,512
50,1,7,3,1,"Dhankuta","Children Dead","Male",1102,8,47,102,154,221,271,299
50,1,7,3,2,"Dhankuta","Children Dead","Female",752,7,33,57,95,145,202,213
50,1,8,1,0,"Terhathum","Children Ever Born","Total",34465,450,2594,4823,5957,6700,6957,6984
50,1,8,1,1,"Terhathum","Children Ever Born","Male",17807,238,1345,2513,3068,3508,3571,3564
50,1,8,1,2,"Terhathum","Children Ever Born","Female",16658,212,1249,2310,2889,3192,3386,3420
50,1,8,2,0,"Terhathum","Children Still Alive","Total",33428,443,2544,4740,5795,6500,6730,6676
50,1,8,2,1,"Terhathum","Children Still Alive","Male",17182,233,1312,2466,2970,3389,3427,3385
50,1,8,2,2,"Terhathum","Children Still Alive","Female",16246,210,1232,2274,2825,3111,3303,3291
50,1,8,3,0,"Terhathum","Children Dead","Total",1037,7,50,83,162,200,227,308
50,1,8,3,1,"Terhathum","Children Dead","Male",625,5,33,47,98,119,144,179
50,1,8,3,2,"Terhathum","Children Dead","Female",412,2,17,36,64,81,83,129
50,1,9,1,0,"Panchthar","Children Ever Born","Total",65973,995,5282,9200,11076,13089,13439,12892
50,1,9,1,1,"Panchthar","Children Ever Born","Male",33923,504,2725,4703,5728,6721,6877,6665
50,1,9,1,2,"Panchthar","Children Ever Born","Female",32050,491,2557,4497,5348,6368,6562,6227
50,1,9,2,0,"Panchthar","Children Still Alive","Total",63425,972,5156,9006,10747,12603,12834,12107
50,1,9,2,1,"Panchthar","Children Still Alive","Male",32405,492,2657,4586,5539,6409,6517,6205
50,1,9,2,2,"Panchthar","Children Still Alive","Female",31020,480,2499,4420,5208,6194,6317,5902
50,1,9,3,0,"Panchthar","Children Dead","Total",2548,23,126,194,329,486,605,785
50,1,9,3,1,"Panchthar","Children Dead","Male",1518,12,68,117,189,312,360,460
50,1,9,3,2,"Panchthar","Children Dead","Female",1030,11,58,77,140,174,245,325
50,1,10,1,0,"Ilam","Children Ever Born","Total",96118,960,6033,12837,16440,19693,21206,18949
50,1,10,1,1,"Ilam","Children Ever Born","Male",49604,500,3091,6710,8406,10112,10932,9853
50,1,10,1,2,"Ilam","Children Ever Born","Female",46514,460,2942,6127,8034,9581,10274,9096
50,1,10,2,0,"Ilam","Children Still Alive","Total",93737,943,5936,12667,16152,19202,20618,18219
50,1,10,2,1,"Ilam","Children Still Alive","Male",48167,486,3042,6597,8236,9815,10580,9411
50,1,10,2,2,"Ilam","Children Still Alive","Female",45570,457,2894,6070,7916,9387,10038,8808
50,1,10,3,0,"Ilam","Children Dead","Total",2381,17,97,170,288,491,588,730
50,1,10,3,1,"Ilam","Children Dead","Male",1437,14,49,113,170,297,352,442
50,1,10,3,2,"Ilam","Children Dead","Female",944,3,48,57,118,194,236,288
50,1,11,1,0,"Jhapa","Children Ever Born","Total",390729,2672,22707,53270,72852,85751,82644,70833
50,1,11,1,1,"Jhapa","Children Ever Born","Male",203273,1406,11805,27633,37852,44508,43036,37033
50,1,11,1,2,"Jhapa","Children Ever Born","Female",187456,1266,10902,25637,35000,41243,39608,33800
50,1,11,2,0,"Jhapa","Children Still Alive","Total",379486,2618,22309,52326,71324,83432,79801,67676
50,1,11,2,1,"Jhapa","Children Still Alive","Male",196564,1370,11551,27056,36941,43105,41420,35121
50,1,11,2,2,"Jhapa","Children Still Alive","Female",182922,1248,10758,25270,34383,40327,38381,32555
50,1,11,3,0,"Jhapa","Children Dead","Total",11243,54,398,944,1528,2319,2843,3157
50,1,11,3,1,"Jhapa","Children Dead","Male",6709,36,254,577,911,1403,1616,1912
50,1,11,3,2,"Jhapa","Children Dead","Female",4534,18,144,367,617,916,1227,1245
50,1,12,1,0,"Morang","Children Ever Born","Total",470550,3147,32968,70957,87241,104347,92920,78970
50,1,12,1,1,"Morang","Children Ever Born","Male",244665,1563,16891,36552,45119,54003,48561,41976
50,1,12,1,2,"Morang","Children Ever Born","Female",225885,1584,16077,34405,42122,50344,44359,36994
50,1,12,2,0,"Morang","Children Still Alive","Total",459160,3088,32410,69808,85574,101888,90254,76138
50,1,12,2,1,"Morang","Children Still Alive","Male",237954,1525,16554,35850,44142,52574,47012,40297
50,1,12,2,2,"Morang","Children Still Alive","Female",221206,1563,15856,33958,41432,49314,43242,35841
50,1,12,3,0,"Morang","Children Dead","Total",11390,59,558,1149,1667,2459,2666,2832
50,1,12,3,1,"Morang","Children Dead","Male",6711,38,337,702,977,1429,1549,1679
50,1,12,3,2,"Morang","Children Dead","Female",4679,21,221,447,690,1030,1117,1153
50,1,13,1,0,"Sunsari","Children Ever Born","Total",393080,2713,30576,62544,74701,83957,74189,64400
50,1,13,1,1,"Sunsari","Children Ever Born","Male",205199,1422,16011,32645,38564,43724,38725,34108
50,1,13,1,2,"Sunsari","Children Ever Born","Female",187881,1291,14565,29899,36137,40233,35464,30292
50,1,13,2,0,"Sunsari","Children Still Alive","Total",383529,2664,30027,61528,73230,81950,72070,62060
50,1,13,2,1,"Sunsari","Children Still Alive","Male",199340,1390,15657,32014,37643,42513,37448,32675
50,1,13,2,2,"Sunsari","Children Still Alive","Female",184189,1274,14370,29514,35587,39437,34622,29385
50,1,13,3,0,"Sunsari","Children Dead","Total",9551,49,549,1016,1471,2007,2119,2340
50,1,13,3,1,"Sunsari","Children Dead","Male",5859,32,354,631,921,1211,1277,1433
50,1,13,3,2,"Sunsari","Children Dead","Female",3692,17,195,385,550,796,842,907
