area,prov,dist,sex,area_name,sexname,rowtotal,a_humnty,b_mgm,c_edu,d_science,e_medicine,f_enginring,g_law,h_agri,i_forstry,j_vetnry,k_computr,l_others,m_notstd
50,4,37,1,"Manang","Male",778,81,233,335,33,22,24,4,4,3,4,15,12,8
50,4,37,2,"Manang","Female",437,25,98,262,10,25,2,0,1,1,3,3,3,4
50,4,38,0,"Mustang","Total",1882,231,659,594,87,72,49,4,43,9,11,9,51,63
50,4,38,1,"Mustang","Male",1225,163,418,364,68,28,45,4,24,6,7,9,47,42
50,4,38,2,"Mustang","Female",657,68,241,230,19,44,4,0,19,3,4,0,4,21
50,4,39,0,"Myagdi","Total",12491,1180,4286,4777,437,308,274,39,96,24,22,57,130,861
50,4,39,1,"Myagdi","Male",6406,763,2333,1950,313,91,246,31,55,14,17,49,77,467
50,4,39,2,"Myagdi","Female",6085,417,1953,2827,124,217,28,8,41,10,5,8,53,394
50,4,40,0,"Kaski","Total",139474,16770,56712,29653,11201,6884,4605,1175,573,503,213,1256,1971,7958
50,4,40,1,"Kaski","Male",71714,9079,30746,11069,6877,2069,3802,867,336,264,153,972,1214,4266
50,4,40,2,"Kaski","Female",67760,7691,25966,18584,4324,4815,803,308,237,239,60,284,757,3692
50,4,41,0,"Lamjung","Total",21370,1884,6666,8268,1057,613,476,74,482,98,48,151,238,1315
50,4,41,1,"Lamjung","Male",10694,1103,3583,3460,683,189,394,54,260,54,33,105,145,631
50,4,41,2,"Lamjung","Female",10676,781,3083,4808,374,424,82,20,222,44,15,46,93,684
50,4,42,0,"Tanahu","Total",41495,3180,13979,16436,2209,1179,944,191,265,130,163,410,762,1647
50,4,42,1,"Tanahu","Male",19872,1853,7279,6197,1368,350,783,142,160,63,110,278,519,770
50,4,42,2,"Tanahu","Female",21623,1327,6700,10239,841,829,161,49,105,67,53,132,243,877
50,4,43,0,"Nawalparasi (Bardaghat Susta East)","Total",54314,4758,21242,16837,3780,1797,933,186,288,160,117,544,1160,2512
50,4,43,1,"Nawalparasi (Bardaghat Susta East)","Male",25943,2537,11265,5622,2363,516,808,144,143,80,71,423,726,1245
50,4,43,2,"Nawalparasi (Bardaghat Susta East)","Female",28371,2221,9977,11215,1417,1281,125,42,145,80,46,121,434,1267
50,4,44,0,"Syangja","Total",38178,3413,13392,14454,1793,749,481,178,209,98,67,156,553,2635
50,4,44,1,"Syangja","Male",18583,1937,7069,5596,1205,263,406,159,117,51,49,108,347,1276
50,4,44,2,"Syangja","Female",19595,1476,6323,8858,588,486,75,19,92,47,18,48,206,1359
50,4,45,0,"Parbat","Total",19369,2125,6060,8164,891,449,282,134,115,48,37,65,264,735
50,4,45,1,"Parbat","Male",9757,1279,3189,3387,647,181,247,111,73,24,31,49,174,365
50,4,45,2,"Parbat","Female",9612,846,2871,4777,244,268,35,23,42,24,6,16,90,370
